feature,year,gender,number_of_jobs,median_income
14 to 26 weeks,2019-20,Males,44.032,21893.0
14 to 26 weeks,2020-21,Males,46.345,22212.0
14 to 26 weeks,2021-22,Males,63.491,22747.0
27 to 39 weeks,2017-18,Males,32.768,37966.0
27 to 39 weeks,2018-19,Males,35.277,38543.0
27 to 39 weeks,2019-20,Males,34.181,36232.0
27 to 39 weeks,2020-21,Males,36.618,36035.0
27 to 39 weeks,2021-22,Males,49.107,38322.0
40 to 52 weeks,2017-18,Males,253.824,66667.0
40 to 52 weeks,2018-19,Males,274.587,69866.0
40 to 52 weeks,2019-20,Males,288.772,70448.0
40 to 52 weeks,2020-21,Males,312.083,74839.0
40 to 52 weeks,2021-22,Males,325.889,76160.0
1 to 13 weeks,2017-18,Females,47.462,4101.0
1 to 13 weeks,2018-19,Females,49.004,4215.0
1 to 13 weeks,2019-20,Females,34.789,4693.0
1 to 13 weeks,2020-21,Females,54.728,4210.0
1 to 13 weeks,2021-22,Females,70.931,4216.0
14 to 26 weeks,2017-18,Females,41.102,15013.0
14 to 26 weeks,2018-19,Females,42.745,15384.0
14 to 26 weeks,2019-20,Females,43.108,14502.0
14 to 26 weeks,2020-21,Females,48.103,14779.0
14 to 26 weeks,2021-22,Females,68.699,14813.0
27 to 39 weeks,2017-18,Females,32.066,24900.0
27 to 39 weeks,2018-19,Females,35.208,25273.0
27 to 39 weeks,2019-20,Females,34.434,22436.0
27 to 39 weeks,2020-21,Females,37.66,23956.0
27 to 39 weeks,2021-22,Females,54.652,23727.0
40 to 52 weeks,2017-18,Females,253.382,46058.0
40 to 52 weeks,2018-19,Females,278.132,47871.0
40 to 52 weeks,2019-20,Females,283.912,47784.0
40 to 52 weeks,2020-21,Females,320.481,52816.0
40 to 52 weeks,2021-22,Females,343.034,52680.0
1 to 13 weeks,2017-18,Persons,101.074,5137.0
1 to 13 weeks,2018-19,Persons,101.224,5341.0
1 to 13 weeks,2019-20,Persons,74.736,5966.0
1 to 13 weeks,2020-21,Persons,109.373,5177.0
1 to 13 weeks,2021-22,Persons,137.553,5221.0
14 to 26 weeks,2017-18,Persons,83.304,18442.0
14 to 26 weeks,2018-19,Persons,85.071,18920.0
14 to 26 weeks,2019-20,Persons,87.14,17911.0
14 to 26 weeks,2020-21,Persons,94.446,18089.0
14 to 26 weeks,2021-22,Persons,132.195,18150.0
27 to 39 weeks,2017-18,Persons,64.831,31013.0
27 to 39 weeks,2018-19,Persons,70.483,31341.0
27 to 39 weeks,2019-20,Persons,68.609,28583.0
27 to 39 weeks,2020-21,Persons,74.279,28977.0
27 to 39 weeks,2021-22,Persons,103.761,29893.0
40 to 52 weeks,2017-18,Persons,507.207,55315.0
40 to 52 weeks,2018-19,Persons,552.722,57623.0
40 to 52 weeks,2019-20,Persons,572.685,57760.0
40 to 52 weeks,2020-21,Persons,632.567,62500.0
40 to 52 weeks,2021-22,Persons,668.93,63005.0
1 to 13 weeks,2017-18,Males,45.976,5394.0
1 to 13 weeks,2018-19,Males,45.463,6090.0
1 to 13 weeks,2019-20,Males,34.21,6063.0
1 to 13 weeks,2020-21,Males,48.445,5434.0
1 to 13 weeks,2021-22,Males,66.628,5507.0
14 to 26 weeks,2017-18,Males,36.412,19958.0
14 to 26 weeks,2018-19,Males,37.771,20221.0
14 to 26 weeks,2019-20,Males,40.431,18617.0
14 to 26 weeks,2020-21,Males,43.559,19404.0
14 to 26 weeks,2021-22,Males,60.328,20453.0
27 to 39 weeks,2017-18,Males,29.084,33066.0
27 to 39 weeks,2018-19,Males,32.274,32262.0
27 to 39 weeks,2019-20,Males,32.109,30334.0
27 to 39 weeks,2020-21,Males,33.714,30874.0
27 to 39 weeks,2021-22,Males,49.395,33060.0
40 to 52 weeks,2017-18,Males,214.825,60003.0
40 to 52 weeks,2018-19,Males,235.368,62936.0
40 to 52 weeks,2019-20,Males,255.219,64185.0
40 to 52 weeks,2020-21,Males,264.215,68300.0
40 to 52 weeks,2021-22,Males,280.249,69999.0
1 to 13 weeks,2017-18,Females,38.396,3495.0
1 to 13 weeks,2018-19,Females,40.554,3694.0
1 to 13 weeks,2019-20,Females,29.769,4018.0
1 to 13 weeks,2020-21,Females,47.02,3581.0
1 to 13 weeks,2021-22,Females,70.721,3611.0
14 to 26 weeks,2017-18,Females,34.181,12656.0
14 to 26 weeks,2018-19,Females,37.261,13092.0
14 to 26 weeks,2019-20,Females,39.919,11999.0
14 to 26 weeks,2020-21,Females,45.193,12791.0
14 to 26 weeks,2021-22,Females,67.802,12799.0
27 to 39 weeks,2017-18,Females,26.535,20752.0
27 to 39 weeks,2018-19,Females,31.229,19742.0
27 to 39 weeks,2019-20,Females,32.365,18000.0
27 to 39 weeks,2020-21,Females,33.765,21028.0
27 to 39 weeks,2021-22,Females,54.243,19874.0
40 to 52 weeks,2017-18,Females,209.803,40821.0
40 to 52 weeks,2018-19,Females,232.921,42776.0
40 to 52 weeks,2019-20,Females,256.111,44068.0
40 to 52 weeks,2020-21,Females,267.812,47691.0
40 to 52 weeks,2021-22,Females,296.845,47372.0
1 to 13 weeks,2017-18,Persons,84.375,4426.0
1 to 13 weeks,2018-19,Persons,86.013,4797.0
1 to 13 weeks,2019-20,Persons,63.985,5006.0
1 to 13 weeks,2020-21,Persons,95.466,4385.0
1 to 13 weeks,2021-22,Persons,137.359,4390.0
14 to 26 weeks,2017-18,Persons,70.594,16222.0
14 to 26 weeks,2018-19,Persons,75.035,16413.0
14 to 26 weeks,2019-20,Persons,80.351,15107.0
14 to 26 weeks,2020-21,Persons,88.75,15846.0
14 to 26 weeks,2021-22,Persons,128.133,16015.0
27 to 39 weeks,2017-18,Persons,55.615,26960.0
27 to 39 weeks,2018-19,Persons,63.501,25848.0
27 to 39 weeks,2019-20,Persons,64.476,23687.0
27 to 39 weeks,2020-21,Persons,67.478,25455.0
27 to 39 weeks,2021-22,Persons,103.64,25269.0
40 to 52 weeks,2017-18,Persons,424.627,49924.0
40 to 52 weeks,2018-19,Persons,468.289,52135.0
40 to 52 weeks,2019-20,Persons,511.326,53189.0
40 to 52 weeks,2020-21,Persons,532.026,57073.0
40 to 52 weeks,2021-22,Persons,577.106,57330.0
1 to 13 weeks,2017-18,Males,26.587,4849.0
1 to 13 weeks,2018-19,Males,25.884,5255.0
1 to 13 weeks,2019-20,Males,20.376,5588.0
1 to 13 weeks,2020-21,Males,31.188,4744.0
1 to 13 weeks,2021-22,Males,39.348,5069.0
14 to 26 weeks,2017-18,Males,20.204,19005.0
14 to 26 weeks,2018-19,Males,21.069,19529.0
14 to 26 weeks,2019-20,Males,21.707,17863.0
14 to 26 weeks,2020-21,Males,25.408,17784.0
14 to 26 weeks,2021-22,Males,33.231,19576.0
27 to 39 weeks,2017-18,Males,15.112,32100.0
27 to 39 weeks,2018-19,Males,16.723,31987.0
27 to 39 weeks,2019-20,Males,16.563,29345.0
27 to 39 weeks,2020-21,Males,19.933,28150.0
27 to 39 weeks,2021-22,Males,24.789,31732.0
40 to 52 weeks,2017-18,Males,108.438,62734.0
40 to 52 weeks,2018-19,Males,117.509,64469.0
40 to 52 weeks,2019-20,Males,128.76,64711.0
40 to 52 weeks,2020-21,Males,137.23,68532.0
40 to 52 weeks,2021-22,Males,147.153,70582.0
1 to 13 weeks,2017-18,Females,23.415,2808.0
1 to 13 weeks,2018-19,Females,24.772,3057.0
1 to 13 weeks,2019-20,Females,19.236,3162.0
1 to 13 weeks,2020-21,Females,32.627,3087.0
1 to 13 weeks,2021-22,Females,43.92,3098.0
14 to 26 weeks,2017-18,Females,20.003,11260.0
14 to 26 weeks,2018-19,Females,21.886,11915.0
14 to 26 weeks,2019-20,Females,22.911,11083.0
14 to 26 weeks,2020-21,Females,28.424,11871.0
14 to 26 weeks,2021-22,Females,38.831,12756.0
27 to 39 weeks,2017-18,Females,14.92,18977.0
27 to 39 weeks,2018-19,Females,16.876,19482.0
27 to 39 weeks,2019-20,Females,17.868,17707.0
27 to 39 weeks,2020-21,Females,22.439,19661.0
27 to 39 weeks,2021-22,Females,29.418,20889.0
40 to 52 weeks,2017-18,Females,118.535,41316.0
40 to 52 weeks,2018-19,Females,129.683,42614.0
40 to 52 weeks,2019-20,Females,141.606,43631.0
40 to 52 weeks,2020-21,Females,152.817,46803.0
40 to 52 weeks,2021-22,Females,168.919,47302.0
1 to 13 weeks,2017-18,Persons,49.994,3774.0
1 to 13 weeks,2018-19,Persons,50.654,4000.0
1 to 13 weeks,2019-20,Persons,39.615,4234.0
1 to 13 weeks,2020-21,Persons,63.819,3778.0
1 to 13 weeks,2021-22,Persons,83.275,3869.0
14 to 26 weeks,2017-18,Persons,40.203,14711.0
14 to 26 weeks,2018-19,Persons,42.956,15161.0
14 to 26 weeks,2019-20,Persons,44.614,13967.0
14 to 26 weeks,2020-21,Persons,53.83,14185.0
14 to 26 weeks,2021-22,Persons,72.067,15415.0
27 to 39 weeks,2017-18,Persons,30.038,24869.0
27 to 39 weeks,2018-19,Persons,33.599,24709.0
27 to 39 weeks,2019-20,Persons,34.427,22197.0
27 to 39 weeks,2020-21,Persons,42.374,22859.0
27 to 39 weeks,2021-22,Persons,54.21,25030.0
40 to 52 weeks,2017-18,Persons,226.975,50140.0
40 to 52 weeks,2018-19,Persons,247.188,51739.0
40 to 52 weeks,2019-20,Persons,270.369,52303.0
40 to 52 weeks,2020-21,Persons,290.051,55675.0
40 to 52 weeks,2021-22,Persons,316.076,56631.0
1 to 13 weeks,2017-18,Males,9.324,4321.0
1 to 13 weeks,2018-19,Males,9.839,5339.0
1 to 13 weeks,2019-20,Males,7.387,4925.0
1 to 13 weeks,2020-21,Males,10.638,4328.0
1 to 13 weeks,2021-22,Males,13.784,4422.0
14 to 26 weeks,2017-18,Males,7.671,16546.0
14 to 26 weeks,2018-19,Males,8.148,17330.0
14 to 26 weeks,2019-20,Males,8.341,15744.0
14 to 26 weeks,2020-21,Males,9.54,16606.0
14 to 26 weeks,2021-22,Males,12.812,17238.0
27 to 39 weeks,2017-18,Males,5.823,27287.0
27 to 39 weeks,2018-19,Males,6.469,27756.0
27 to 39 weeks,2019-20,Males,6.694,26124.0
27 to 39 weeks,2020-21,Males,7.676,27863.0
27 to 39 weeks,2021-22,Males,9.809,28531.0
40 to 52 weeks,2017-18,Males,42.694,55132.0
40 to 52 weeks,2018-19,Males,44.541,56953.0
40 to 52 weeks,2019-20,Males,49.908,57602.0
40 to 52 weeks,2020-21,Males,53.445,60900.0
40 to 52 weeks,2021-22,Males,56.594,62302.0
1 to 13 weeks,2017-18,Females,8.017,2758.0
1 to 13 weeks,2018-19,Females,8.577,3343.0
1 to 13 weeks,2019-20,Females,6.269,3399.0
1 to 13 weeks,2020-21,Females,10.367,3153.0
1 to 13 weeks,2021-22,Females,14.142,3203.0
14 to 26 weeks,2017-18,Females,7.521,10182.0
14 to 26 weeks,2018-19,Females,7.772,10843.0
14 to 26 weeks,2019-20,Females,8.076,10405.0
14 to 26 weeks,2020-21,Females,9.833,11140.0
14 to 26 weeks,2021-22,Females,14.374,12094.0
27 to 39 weeks,2017-18,Females,5.674,17312.0
27 to 39 weeks,2018-19,Females,6.114,16958.0
27 to 39 weeks,2019-20,Females,6.608,15777.0
27 to 39 weeks,2020-21,Females,8.126,19897.0
27 to 39 weeks,2021-22,Females,10.919,18825.0
40 to 52 weeks,2017-18,Females,43.983,39489.0
40 to 52 weeks,2018-19,Females,47.162,40764.0
40 to 52 weeks,2019-20,Females,52.97,41665.0
40 to 52 weeks,2020-21,Females,57.094,45043.0
40 to 52 weeks,2021-22,Females,62.655,44773.0
1 to 13 weeks,2017-18,Persons,17.344,3502.0
1 to 13 weeks,2018-19,Persons,18.417,4261.0
1 to 13 weeks,2019-20,Persons,13.655,4112.0
1 to 13 weeks,2020-21,Persons,21.004,3664.0
1 to 13 weeks,2021-22,Persons,27.932,3724.0
14 to 26 weeks,2017-18,Persons,15.191,13242.0
14 to 26 weeks,2018-19,Persons,15.916,13931.0
14 to 26 weeks,2019-20,Persons,16.417,12982.0
14 to 26 weeks,2020-21,Persons,19.366,13663.0
14 to 26 weeks,2021-22,Persons,27.184,14412.0
27 to 39 weeks,2017-18,Persons,11.493,22119.0
27 to 39 weeks,2018-19,Persons,12.588,21973.0
27 to 39 weeks,2019-20,Persons,13.308,19885.0
27 to 39 weeks,2020-21,Persons,15.799,23412.0
27 to 39 weeks,2021-22,Persons,20.728,23094.0
40 to 52 weeks,2017-18,Persons,86.677,46886.0
40 to 52 weeks,2018-19,Persons,91.699,48538.0
40 to 52 weeks,2019-20,Persons,102.879,49106.0
40 to 52 weeks,2020-21,Persons,110.537,52528.0
40 to 52 weeks,2021-22,Persons,119.248,52867.0
1 to 13 weeks,2017-18,Males,27.58,5999.0
1 to 13 weeks,2018-19,Males,25.796,6614.0
1 to 13 weeks,2019-20,Males,20.79,7028.0
1 to 13 weeks,2020-21,Males,30.734,6564.0
1 to 13 weeks,2021-22,Males,37.255,6887.0
14 to 26 weeks,2017-18,Males,20.963,22143.0
14 to 26 weeks,2018-19,Males,21.379,22516.0
14 to 26 weeks,2019-20,Males,22.3,21371.0
14 to 26 weeks,2020-21,Males,26.32,22220.0
14 to 26 weeks,2021-22,Males,34.095,23605.0
27 to 39 weeks,2017-18,Males,16.476,35296.0
27 to 39 weeks,2018-19,Males,17.78,35768.0
27 to 39 weeks,2019-20,Males,17.748,32772.0
27 to 39 weeks,2020-21,Males,21.409,32987.0
27 to 39 weeks,2021-22,Males,25.911,38013.0
40 to 52 weeks,2017-18,Males,111.838,70015.0
40 to 52 weeks,2018-19,Males,119.233,70993.0
40 to 52 weeks,2019-20,Males,128.434,71886.0
40 to 52 weeks,2020-21,Males,134.576,75633.0
40 to 52 weeks,2021-22,Males,141.877,78985.0
1 to 13 weeks,2017-18,Females,19.954,2971.0
1 to 13 weeks,2018-19,Females,20.118,3095.0
1 to 13 weeks,2019-20,Females,15.626,3166.0
1 to 13 weeks,2020-21,Females,27.432,3032.0
1 to 13 weeks,2021-22,Females,36.672,3291.0
14 to 26 weeks,2017-18,Females,17.053,10936.0
14 to 26 weeks,2018-19,Females,17.985,11284.0
14 to 26 weeks,2019-20,Females,19.049,10918.0
14 to 26 weeks,2020-21,Females,24.516,11680.0
14 to 26 weeks,2021-22,Females,34.795,12111.0
27 to 39 weeks,2017-18,Females,13.724,17185.0
27 to 39 weeks,2018-19,Females,15.385,17296.0
27 to 39 weeks,2019-20,Females,15.655,16042.0
27 to 39 weeks,2020-21,Females,20.756,17665.0
27 to 39 weeks,2021-22,Females,26.974,19157.0
40 to 52 weeks,2017-18,Females,111.093,41481.0
40 to 52 weeks,2018-19,Females,118.929,42195.0
40 to 52 weeks,2019-20,Females,128.378,42811.0
40 to 52 weeks,2020-21,Females,135.679,45505.0
40 to 52 weeks,2021-22,Females,151.507,44378.0
1 to 13 weeks,2017-18,Persons,47.538,4452.0
1 to 13 weeks,2018-19,Persons,45.913,4756.0
1 to 13 weeks,2019-20,Persons,36.414,5059.0
1 to 13 weeks,2020-21,Persons,58.169,4520.0
1 to 13 weeks,2021-22,Persons,73.934,4740.0
14 to 26 weeks,2017-18,Persons,38.017,16213.0
14 to 26 weeks,2018-19,Persons,39.372,16498.0
14 to 26 weeks,2019-20,Persons,41.344,15604.0
14 to 26 weeks,2020-21,Persons,50.835,16075.0
14 to 26 weeks,2021-22,Persons,68.889,16801.0
27 to 39 weeks,2017-18,Persons,30.2,25433.0
27 to 39 weeks,2018-19,Persons,33.159,25361.0
27 to 39 weeks,2019-20,Persons,33.409,23095.0
27 to 39 weeks,2020-21,Persons,42.169,23422.0
27 to 39 weeks,2021-22,Persons,52.886,26141.0
40 to 52 weeks,2017-18,Persons,222.934,53666.0
40 to 52 weeks,2018-19,Persons,238.162,54408.0
40 to 52 weeks,2019-20,Persons,256.813,54992.0
40 to 52 weeks,2020-21,Persons,270.257,57891.0
40 to 52 weeks,2021-22,Persons,293.397,57985.0
1 to 13 weeks,2017-18,Males,1.38,2826.0
1 to 13 weeks,2018-19,Males,1.509,2696.0
1 to 13 weeks,2019-20,Males,1.308,2834.0
1 to 13 weeks,2020-21,Males,2.18,3014.0
1 to 13 weeks,2021-22,Males,2.446,3982.0
14 to 26 weeks,2017-18,Males,1.077,10788.0
14 to 26 weeks,2018-19,Males,1.232,12065.0
14 to 26 weeks,2019-20,Males,1.468,11477.0
14 to 26 weeks,2020-21,Males,2.169,10759.0
14 to 26 weeks,2021-22,Males,2.614,12600.0
27 to 39 weeks,2017-18,Males,1.12,9118.0
27 to 39 weeks,2018-19,Males,1.186,15970.0
27 to 39 weeks,2019-20,Males,1.4,14772.0
27 to 39 weeks,2020-21,Males,1.739,18270.0
27 to 39 weeks,2021-22,Males,2.072,22545.0
40 to 52 weeks,2017-18,Males,6.009,46884.0
40 to 52 weeks,2018-19,Males,6.676,48573.0
40 to 52 weeks,2019-20,Males,8.59,45644.0
40 to 52 weeks,2020-21,Males,9.728,50000.0
40 to 52 weeks,2021-22,Males,10.097,53637.0
1 to 13 weeks,2017-18,Females,1.258,2430.0
1 to 13 weeks,2018-19,Females,1.353,2401.0
1 to 13 weeks,2019-20,Females,1.208,2733.0
1 to 13 weeks,2020-21,Females,2.107,2509.0
1 to 13 weeks,2021-22,Females,2.569,2761.0
14 to 26 weeks,2017-18,Females,1.204,7190.0
14 to 26 weeks,2018-19,Females,1.236,8543.0
14 to 26 weeks,2019-20,Females,1.514,7802.0
14 to 26 weeks,2020-21,Females,2.244,8454.0
14 to 26 weeks,2021-22,Females,2.738,9725.0
27 to 39 weeks,2017-18,Females,1.082,8523.0
27 to 39 weeks,2018-19,Females,1.176,10909.0
27 to 39 weeks,2019-20,Females,1.45,9860.0
27 to 39 weeks,2020-21,Females,1.837,14451.0
27 to 39 weeks,2021-22,Females,2.105,16742.0
40 to 52 weeks,2017-18,Females,6.534,31692.0
40 to 52 weeks,2018-19,Females,7.297,34129.0
40 to 52 weeks,2019-20,Females,9.006,34212.0
40 to 52 weeks,2020-21,Females,10.238,38843.0
40 to 52 weeks,2021-22,Females,11.035,41449.0
1 to 13 weeks,2017-18,Persons,2.636,2618.0
1 to 13 weeks,2018-19,Persons,2.863,2516.0
1 to 13 weeks,2019-20,Persons,2.516,2778.0
1 to 13 weeks,2020-21,Persons,4.285,2749.0
1 to 13 weeks,2021-22,Persons,5.022,3314.0
14 to 26 weeks,2017-18,Persons,2.28,8749.0
14 to 26 weeks,2018-19,Persons,2.463,10185.0
14 to 26 weeks,2019-20,Persons,2.979,9501.0
14 to 26 weeks,2020-21,Persons,4.415,9502.0
14 to 26 weeks,2021-22,Persons,5.348,10917.0
27 to 39 weeks,2017-18,Persons,2.201,8955.0
27 to 39 weeks,2018-19,Persons,2.357,12850.0
27 to 39 weeks,2019-20,Persons,2.849,12319.0
27 to 39 weeks,2020-21,Persons,3.572,16130.0
27 to 39 weeks,2021-22,Persons,4.176,19126.0
40 to 52 weeks,2017-18,Persons,12.544,38684.0
40 to 52 weeks,2018-19,Persons,13.977,40643.0
40 to 52 weeks,2019-20,Persons,17.599,39510.0
40 to 52 weeks,2020-21,Persons,19.97,44090.0
40 to 52 weeks,2021-22,Persons,21.124,46901.0
1 to 13 weeks,2017-18,Males,2.161,4481.0
1 to 13 weeks,2018-19,Males,1.914,5189.0
1 to 13 weeks,2019-20,Males,1.477,5101.0
1 to 13 weeks,2020-21,Males,2.363,4841.0
1 to 13 weeks,2021-22,Males,2.61,4014.0
14 to 26 weeks,2017-18,Males,1.529,18642.0
14 to 26 weeks,2018-19,Males,1.558,18820.0
14 to 26 weeks,2019-20,Males,1.606,15975.0
14 to 26 weeks,2020-21,Males,1.834,18510.0
14 to 26 weeks,2021-22,Males,2.445,17896.0
27 to 39 weeks,2017-18,Males,1.169,33052.0
27 to 39 weeks,2018-19,Males,1.291,28798.0
27 to 39 weeks,2019-20,Males,1.321,27864.0
27 to 39 weeks,2020-21,Males,1.523,30099.0
27 to 39 weeks,2021-22,Males,1.712,29429.0
40 to 52 weeks,2017-18,Males,8.123,62107.0
40 to 52 weeks,2018-19,Males,8.456,61319.0
40 to 52 weeks,2019-20,Males,9.249,60306.0
40 to 52 weeks,2020-21,Males,9.579,65070.0
40 to 52 weeks,2021-22,Males,9.661,68190.0
1 to 13 weeks,2017-18,Females,1.908,2967.0
1 to 13 weeks,2018-19,Females,1.735,3529.0
1 to 13 weeks,2019-20,Females,1.227,3335.0
1 to 13 weeks,2020-21,Females,2.392,3456.0
1 to 13 weeks,2021-22,Females,2.92,3149.0
14 to 26 weeks,2017-18,Females,1.549,13196.0
14 to 26 weeks,2018-19,Females,1.65,12735.0
14 to 26 weeks,2019-20,Females,1.498,12318.0
14 to 26 weeks,2020-21,Females,1.936,13205.0
14 to 26 weeks,2021-22,Females,2.617,12913.0
27 to 39 weeks,2017-18,Females,1.187,20082.0
27 to 39 weeks,2018-19,Females,1.249,20160.0
27 to 39 weeks,2019-20,Females,1.206,19485.0
27 to 39 weeks,2020-21,Females,1.523,22407.0
27 to 39 weeks,2021-22,Females,1.88,22552.0
40 to 52 weeks,2017-18,Females,8.457,46747.0
40 to 52 weeks,2018-19,Females,9.101,47773.0
40 to 52 weeks,2019-20,Females,10.064,47911.0
40 to 52 weeks,2020-21,Females,10.421,52171.0
40 to 52 weeks,2021-22,Females,10.559,53750.0
1 to 13 weeks,2017-18,Persons,4.067,3618.0
1 to 13 weeks,2018-19,Persons,3.648,4274.0
1 to 13 weeks,2019-20,Persons,2.702,4305.0
1 to 13 weeks,2020-21,Persons,4.755,4063.0
1 to 13 weeks,2021-22,Persons,5.527,3486.0
14 to 26 weeks,2017-18,Persons,3.076,15758.0
14 to 26 weeks,2018-19,Persons,3.212,15361.0
14 to 26 weeks,2019-20,Persons,3.106,14141.0
14 to 26 weeks,2020-21,Persons,3.767,15444.0
14 to 26 weeks,2021-22,Persons,5.061,15057.0
27 to 39 weeks,2017-18,Persons,2.35,25460.0
27 to 39 weeks,2018-19,Persons,2.543,23671.0
27 to 39 weeks,2019-20,Persons,2.521,23241.0
27 to 39 weeks,2020-21,Persons,3.05,25603.0
27 to 39 weeks,2021-22,Persons,3.591,24809.0
40 to 52 weeks,2017-18,Persons,16.576,53523.0
40 to 52 weeks,2018-19,Persons,17.558,53885.0
40 to 52 weeks,2019-20,Persons,19.315,53265.0
40 to 52 weeks,2020-21,Persons,19.999,57741.0
40 to 52 weeks,2021-22,Persons,20.221,60261.0
1 to 13 weeks,2017-18,Males,2.96,4637.0
1 to 13 weeks,2018-19,Males,3.228,5396.0
1 to 13 weeks,2019-20,Males,2.465,5820.0
1 to 13 weeks,2020-21,Males,3.562,6058.0
1 to 13 weeks,2021-22,Males,4.45,6068.0
14 to 26 weeks,2017-18,Males,2.692,17820.0
14 to 26 weeks,2018-19,Males,2.704,19207.0
14 to 26 weeks,2019-20,Males,3.008,17791.0
14 to 26 weeks,2020-21,Males,3.423,19119.0
14 to 26 weeks,2021-22,Males,4.441,21460.0
27 to 39 weeks,2017-18,Males,2.0,30623.0
27 to 39 weeks,2018-19,Males,2.152,31374.0
27 to 39 weeks,2019-20,Males,2.478,27687.0
27 to 39 weeks,2020-21,Males,2.744,31649.0
27 to 39 weeks,2021-22,Males,3.349,34963.0
40 to 52 weeks,2017-18,Males,15.53,66352.0
40 to 52 weeks,2018-19,Males,16.981,67515.0
40 to 52 weeks,2019-20,Males,19.271,66043.0
40 to 52 weeks,2020-21,Males,20.472,71811.0
40 to 52 weeks,2021-22,Males,22.28,71707.0
1 to 13 weeks,2017-18,Females,2.98,3203.0
1 to 13 weeks,2018-19,Females,3.16,3507.0
1 to 13 weeks,2019-20,Females,2.494,4365.0
1 to 13 weeks,2020-21,Females,3.959,4227.0
1 to 13 weeks,2021-22,Females,4.877,4328.0
14 to 26 weeks,2017-18,Females,2.74,12992.0
14 to 26 weeks,2018-19,Females,2.909,13779.0
14 to 26 weeks,2019-20,Females,3.313,13338.0
14 to 26 weeks,2020-21,Females,3.783,15385.0
14 to 26 weeks,2021-22,Females,5.055,16386.0
