,gender,feature,median_income,PROPORTION
135,FEMALES,70 to 74 years,70-90k,0.0
136,FEMALES,70 to 74 years,90-110k,0.0
137,FEMALES,70 to 74 years,110-130k,0.0
138,FEMALES,70 to 74 years,130-150k,0.0
139,FEMALES,70 to 74 years,>150k,0.0
140,FEMALES,75 to 79 years,<10k,0.0019423132951345051
141,FEMALES,75 to 79 years,10-20k,0.0
142,FEMALES,75 to 79 years,20-30k,0.0
143,FEMALES,75 to 79 years,30-50k,0.0
144,FEMALES,75 to 79 years,50-70k,0.0
145,FEMALES,75 to 79 years,70-90k,0.0
146,FEMALES,75 to 79 years,90-110k,0.0
147,FEMALES,75 to 79 years,110-130k,0.0
148,FEMALES,75 to 79 years,130-150k,0.0
149,FEMALES,75 to 79 years,>150k,0.0
150,FEMALES,80 to 84 years,<10k,0.0009711566475672526
151,FEMALES,80 to 84 years,10-20k,0.0
152,FEMALES,80 to 84 years,20-30k,0.0
153,FEMALES,80 to 84 years,30-50k,0.0
154,FEMALES,80 to 84 years,50-70k,0.0
155,FEMALES,80 to 84 years,70-90k,0.0
156,FEMALES,80 to 84 years,90-110k,0.0
157,FEMALES,80 to 84 years,110-130k,0.0
158,FEMALES,80 to 84 years,130-150k,0.0
159,FEMALES,80 to 84 years,>150k,0.0
160,FEMALES,85 years and over,<10k,0.0008740409828105274
161,FEMALES,85 years and over,10-20k,0.0
162,FEMALES,85 years and over,20-30k,0.0
163,FEMALES,85 years and over,30-50k,0.0
164,FEMALES,85 years and over,50-70k,0.0
165,FEMALES,85 years and over,70-90k,0.0
166,FEMALES,85 years and over,90-110k,0.0
167,FEMALES,85 years and over,110-130k,0.0
168,FEMALES,85 years and over,130-150k,0.0
169,FEMALES,85 years and over,>150k,0.0
170,MALES,14 years and under,<10k,0.0005826939885403516
171,MALES,14 years and under,10-20k,0.0
172,MALES,14 years and under,20-30k,0.0
173,MALES,14 years and under,30-50k,0.0
174,MALES,14 years and under,50-70k,0.0
175,MALES,14 years and under,70-90k,0.0
176,MALES,14 years and under,90-110k,0.0
177,MALES,14 years and under,110-130k,0.0
178,MALES,14 years and under,130-150k,0.0
179,MALES,14 years and under,>150k,0.0
180,MALES,15 to 17 years,<10k,0.010100029134699427
181,MALES,15 to 17 years,10-20k,0.0
182,MALES,15 to 17 years,20-30k,0.0
183,MALES,15 to 17 years,30-50k,0.0
184,MALES,15 to 17 years,50-70k,0.0
185,MALES,15 to 17 years,70-90k,0.0
186,MALES,15 to 17 years,90-110k,0.0
187,MALES,15 to 17 years,110-130k,0.0
188,MALES,15 to 17 years,130-150k,0.0
189,MALES,15 to 17 years,>150k,0.0
190,MALES,18 to 20 years,<10k,0.028843352432747403
191,MALES,18 to 20 years,10-20k,0.0
192,MALES,18 to 20 years,20-30k,0.0
193,MALES,18 to 20 years,30-50k,0.0
194,MALES,18 to 20 years,50-70k,0.0
195,MALES,18 to 20 years,70-90k,0.0
196,MALES,18 to 20 years,90-110k,0.0
197,MALES,18 to 20 years,110-130k,0.0
198,MALES,18 to 20 years,130-150k,0.0
199,MALES,18 to 20 years,>150k,0.0
200,MALES,21 to 24 years,<10k,0.0
201,MALES,21 to 24 years,10-20k,0.049528989025929886
202,MALES,21 to 24 years,20-30k,0.0
203,MALES,21 to 24 years,30-50k,0.0
204,MALES,21 to 24 years,50-70k,0.0
205,MALES,21 to 24 years,70-90k,0.0
206,MALES,21 to 24 years,90-110k,0.0
207,MALES,21 to 24 years,110-130k,0.0
208,MALES,21 to 24 years,130-150k,0.0
209,MALES,21 to 24 years,>150k,0.0
210,MALES,25 to 29 years,<10k,0.0
211,MALES,25 to 29 years,10-20k,0.0
212,MALES,25 to 29 years,20-30k,0.06885500631251822
213,MALES,25 to 29 years,30-50k,0.0
214,MALES,25 to 29 years,50-70k,0.0
215,MALES,25 to 29 years,70-90k,0.0
216,MALES,25 to 29 years,90-110k,0.0
217,MALES,25 to 29 years,110-130k,0.0
218,MALES,25 to 29 years,130-150k,0.0
219,MALES,25 to 29 years,>150k,0.0
220,MALES,30 to 34 years,<10k,0.0
221,MALES,30 to 34 years,10-20k,0.0
222,MALES,30 to 34 years,20-30k,0.0
223,MALES,30 to 34 years,30-50k,0.0641934544041954
224,MALES,30 to 34 years,50-70k,0.0
225,MALES,30 to 34 years,70-90k,0.0
226,MALES,30 to 34 years,90-110k,0.0
227,MALES,30 to 34 years,110-130k,0.0
228,MALES,30 to 34 years,130-150k,0.0
229,MALES,30 to 34 years,>150k,0.0
230,MALES,35 to 39 years,<10k,0.0
231,MALES,35 to 39 years,10-20k,0.0
232,MALES,35 to 39 years,20-30k,0.0
233,MALES,35 to 39 years,30-50k,0.05778382053025153
234,MALES,35 to 39 years,50-70k,0.0
235,MALES,35 to 39 years,70-90k,0.0
236,MALES,35 to 39 years,90-110k,0.0
237,MALES,35 to 39 years,110-130k,0.0
238,MALES,35 to 39 years,130-150k,0.0
239,MALES,35 to 39 years,>150k,0.0
240,MALES,40 to 44 years,<10k,0.0
241,MALES,40 to 44 years,10-20k,0.0
242,MALES,40 to 44 years,20-30k,0.0
243,MALES,40 to 44 years,30-50k,0.0
244,MALES,40 to 44 years,50-70k,0.049140526366902984
245,MALES,40 to 44 years,70-90k,0.0
246,MALES,40 to 44 years,90-110k,0.0
247,MALES,40 to 44 years,110-130k,0.0
248,MALES,40 to 44 years,130-150k,0.0
249,MALES,40 to 44 years,>150k,0.0
250,MALES,45 to 49 years,<10k,0.0
251,MALES,45 to 49 years,10-20k,0.0
252,MALES,45 to 49 years,20-30k,0.0
253,MALES,45 to 49 years,30-50k,0.0
254,MALES,45 to 49 years,50-70k,0.04700398174225503
255,MALES,45 to 49 years,70-90k,0.0
256,MALES,45 to 49 years,90-110k,0.0
257,MALES,45 to 49 years,110-130k,0.0
258,MALES,45 to 49 years,130-150k,0.0
259,MALES,45 to 49 years,>150k,0.0
260,MALES,50 to 54 years,<10k,0.0
261,MALES,50 to 54 years,10-20k,0.0
262,MALES,50 to 54 years,20-30k,0.0
263,MALES,50 to 54 years,30-50k,0.0
264,MALES,50 to 54 years,50-70k,0.042245314169175485
265,MALES,50 to 54 years,70-90k,0.0
266,MALES,50 to 54 years,90-110k,0.0
267,MALES,50 to 54 years,110-130k,0.0
268,MALES,50 to 54 years,130-150k,0.0
269,MALES,50 to 54 years,>150k,0.0
270,MALES,55 to 59 years,<10k,0.0
271,MALES,55 to 59 years,10-20k,0.0
272,MALES,55 to 59 years,20-30k,0.0
273,MALES,55 to 59 years,30-50k,0.0
274,MALES,55 to 59 years,50-70k,0.038069340584636305
275,MALES,55 to 59 years,70-90k,0.0
276,MALES,55 to 59 years,90-110k,0.0
277,MALES,55 to 59 years,110-130k,0.0
278,MALES,55 to 59 years,130-150k,0.0
279,MALES,55 to 59 years,>150k,0.0
280,MALES,60 to 64 years,<10k,0.0
281,MALES,60 to 64 years,10-20k,0.0
282,MALES,60 to 64 years,20-30k,0.0
283,MALES,60 to 64 years,30-50k,0.029134699427017578
284,MALES,60 to 64 years,50-70k,0.0
285,MALES,60 to 64 years,70-90k,0.0
286,MALES,60 to 64 years,90-110k,0.0
287,MALES,60 to 64 years,110-130k,0.0
288,MALES,60 to 64 years,130-150k,0.0
289,MALES,60 to 64 years,>150k,0.0
290,MALES,65 to 69 years,<10k,0.0
291,MALES,65 to 69 years,10-20k,0.0
292,MALES,65 to 69 years,20-30k,0.0
293,MALES,65 to 69 years,30-50k,0.015732737690589492
294,MALES,65 to 69 years,50-70k,0.0
295,MALES,65 to 69 years,70-90k,0.0
296,MALES,65 to 69 years,90-110k,0.0
297,MALES,65 to 69 years,110-130k,0.0
298,MALES,65 to 69 years,130-150k,0.0
299,MALES,65 to 69 years,>150k,0.0
300,MALES,70 to 74 years,<10k,0.0
301,MALES,70 to 74 years,10-20k,0.006992327862484219
302,MALES,70 to 74 years,20-30k,0.0
303,MALES,70 to 74 years,30-50k,0.0
304,MALES,70 to 74 years,50-70k,0.0
305,MALES,70 to 74 years,70-90k,0.0
306,MALES,70 to 74 years,90-110k,0.0
307,MALES,70 to 74 years,110-130k,0.0
308,MALES,70 to 74 years,130-150k,0.0
309,MALES,70 to 74 years,>150k,0.0
310,MALES,75 to 79 years,<10k,0.0
311,MALES,75 to 79 years,10-20k,0.002719238613188307
312,MALES,75 to 79 years,20-30k,0.0
313,MALES,75 to 79 years,30-50k,0.0
314,MALES,75 to 79 years,50-70k,0.0
315,MALES,75 to 79 years,70-90k,0.0
316,MALES,75 to 79 years,90-110k,0.0
317,MALES,75 to 79 years,110-130k,0.0
318,MALES,75 to 79 years,130-150k,0.0
319,MALES,75 to 79 years,>150k,0.0
320,MALES,80 to 84 years,<10k,0.0011653879770807032
321,MALES,80 to 84 years,10-20k,0.0
322,MALES,80 to 84 years,20-30k,0.0
323,MALES,80 to 84 years,30-50k,0.0
324,MALES,80 to 84 years,50-70k,0.0
325,MALES,80 to 84 years,70-90k,0.0
326,MALES,80 to 84 years,90-110k,0.0
327,MALES,80 to 84 years,110-130k,0.0
328,MALES,80 to 84 years,130-150k,0.0
329,MALES,80 to 84 years,>150k,0.0
330,MALES,85 years and over,<10k,0.0006798096532970768
331,MALES,85 years and over,10-20k,0.0
332,MALES,85 years and over,20-30k,0.0
333,MALES,85 years and over,30-50k,0.0
334,MALES,85 years and over,50-70k,0.0
335,MALES,85 years and over,70-90k,0.0
336,MALES,85 years and over,90-110k,0.0
337,MALES,85 years and over,110-130k,0.0
338,MALES,85 years and over,130-150k,0.0
339,MALES,85 years and over,>150k,0.0
